sale_price,on_sale,sku
331050.00,,1286518-005
125250.00,1,1286506-005
84525.00,,1292236-005
75600.00,1,1245643-005
61050.00,,1286516-005
59535.00,,1211892-005
51675.00,1,1286509-005
44550.00,,1230017-005
43875.00,1,1299502-005
41295.00,1,1207142-005
40725.00,,1260136-005
40725.00,,1260137-005
40500.00,,1260134-005
40500.00,,1326102-005
39375.00,,1296764-005
39150.00,,1286513-005
39000.00,,1306301-005
38250.00,1,1300578-005
38100.00,1,1260130-005
38100.00,1,1260131-005
37500.00,1,1260133-005
36075.00,,1260139-005
35591.25,,1321522-005
35400.00,,1296771-005
34575.00,,1305131-311
34425.00,,1286517-005
33735.00,,1211893-005
33525.00,,1260135-005
33300.00,,1299399-005
33150.00,,1296772-005
33000.00,,1245647-005
32872.50,,1245716-005
32283.75,,1276129-005
31725.00,,1299400-005
31571.25,,1316612-005
31125.00,,1296741-005
30975.00,,1296800-005
30097.50,,1286457-005
29730.00,,1223082-005
29625.00,,1260132-005
29550.00,,1296760-005
29118.75,,1321519-005
28800.00,,1287587-666
28425.00,,1302413-005
28350.00,,1296766-005
28125.00,,1295653-005
27956.25,,1078965-005
27360.00,,1190086-005
27300.00,,1207140-005
27300.00,,1322551-005
27150.00,,1302412-005
26850.00,,1324314-005
26775.00,,1296734-005
26475.00,,1296767-005
26400.00,,1308894-005
26025.00,,1204535-005
25882.50,,1321517-2819
25725.00,,1245717-005
25425.00,,1312984-005
25050.00,,1296732-005
24885.00,,1286520-005
24885.00,,1286521-005
24626.25,,1296778-005
24150.00,,1296762-005
24000.00,,1292235-005
23850.00,,1299401-005
23550.00,,1260140-005
23550.00,,1300577-005
22950.00,,1302151-005
22725.00,,1184142-005
22500.00,,1188910-005
22500.00,,1296763-005
22500.00,,1297189-005
22035.00,,1107022-005
21825.00,,1260138-005
21750.00,,1296787-005
21570.00,,1286459-005
21375.00,,1300284-005
21300.00,,1296768-005
21165.00,,1211864-005
20700.00,,1302411-005
20700.00,,1326101-666
20475.00,,1323429-005
20025.00,,1312075-005
19500.00,,1320652-005
19425.00,,1297187-005
19413.75,,1321515-005
19410.00,,1317354-005
19125.00,,1300286-005
19110.00,,1180881-005
18975.00,,1295652-005
18780.00,,1286505-005
18746.25,,1207425-005
18600.00,,1295648-005
18506.25,,1317961-005
18300.00,,1296798-005
18007.50,,1206764-005
18007.50,,1206765-005
18007.50,,1256431-005
18000.00,,1107270-005
17925.00,,1188976-005
17737.50,,1180883-005
17625.00,,1296735-005
17400.00,,1295651-005
17280.00,,1190091-005
17250.00,,1300264-005
17152.50,,1233769-666
17100.00,,1296769-005
17100.00,,1297190-005
17100.00,,1302416-005
17100.00,,1308895-005
16800.00,,1296748-005
16758.75,,1276133-005
16725.00,,1214605-005
16500.00,,1299402-005
16425.00,,1286515-005
16425.00,,1296733-005
16387.50,,1188684-005
16275.00,,1302417-005
16200.00,,1188975-2820
16050.00,,1214621-005
15975.00,,1296776-005
15675.00,,1124350-005
15660.00,,1232944-005
15540.00,,1237603-005
15435.00,,1223088-005
15300.00,,1190298-005
15300.00,,1299412-005
15300.00,,1299427-005
15225.00,,1214610-005
15187.50,,1292074-005
14925.00,1,1299411-005
14887.50,1,1107121-670
14883.75,,1216488-005
14883.75,,1235011-005
14790.00,,1240476-005
14625.00,1,1300576-005
14550.00,,1204543-666
14550.00,,1204543-668
14415.00,,1043416-005
14223.75,1,1287588-005
14175.00,1,1256784-005
14175.00,1,1256828-005
14175.00,1,1287606-674
14175.00,1,1296746-005
14175.00,1,1301435-005
14100.00,1,1184140-005
14100.00,1,1299417-005
14073.00,,1311107-005
14070.00,1,1205543-005
14025.00,1,1184143-005
14025.00,1,1295647-005
13875.00,1,1297188-005
13875.00,1,1302415-005
13837.50,,1286361-005
13800.00,,1299403-005
13721.25,,1276134-005
13717.50,,1207134-005
13702.50,,1323881-005
13635.00,1,1244833-2822
13578.75,1,1245719-005
13500.00,1,1164100-005
13485.00,1,1100927-005
13485.00,1,1286464-005
13425.00,1,1245786-005
13368.75,,1240283-005
13327.50,1,1298361-005
13275.00,1,1302446-305
13200.00,1,1223092-005
13170.00,1,1214623-005
13125.00,1,1292070-005
13091.25,,1207422-005
13065.00,,1242235-005
13050.00,,1107260-005
13020.00,,1287589-005
12997.50,,1292062-005
12941.25,,1321514-005
12870.00,1,1107029-005
12750.00,1,1300259-005
12675.00,1,1190088-005
12675.00,1,1190090-005
12446.25,1,1317206-005
12375.00,1,1296794-005
12375.00,1,1299424-005
12375.00,1,1300292-005
12277.50,,1245764-005
12225.00,,1297186-005
12225.00,,1299414-005
12195.00,,1202634-005
12150.00,,1289901-005
12142.50,1,1286363-670
12082.50,1,1141407-005
11962.50,1,1286364-005
11913.75,1,1310538-005
11880.00,,1235027-005
11816.25,1,1309665-005
11793.75,,1310529-005
11715.00,,1179559-666
11700.00,1,1324315-005
11647.50,,1317332-005
11625.00,1,1107272-666
11625.00,1,1298376-005
11625.00,1,1298377-005
11625.00,1,1302461-311
11587.50,,1298336-005
11535.00,,1228393-005
11520.00,,1235026-005
11400.00,,1105841-005
11400.00,,1214618-005
11400.00,,1302414-005
11396.25,1,1276135-005
11250.00,1,1286467-670
11250.00,1,1300251-005
11250.00,1,1300269-005
11197.50,,1207133-668
11186.25,,1298365-005
11175.00,,1184153-005
11137.50,,1231604-005
11062.50,,1298354-005
11002.50,,1317353-005
10961.25,,1316613-005
10950.00,,1084596-005
10950.00,,1114233-005
10897.50,,1205546-005
10848.75,,1107678-005
10800.00,,1208192-2824
10792.50,,1299229-005
10725.00,,1299404-005
10725.00,,1302451-005
10650.00,,1296792-005
10567.50,,1286522-005
10537.50,,1306004-005
10530.00,,1179283-005
10410.00,,1202627-005
10410.00,,1238004-005
10368.75,,1126745-666
10368.75,,1126745-670
10350.00,,1188690-005
10282.50,,1310528-005
10267.50,,1043540-005
10267.50,,1084597-005
10260.00,,1288728-005
10248.75,,1238486-005
10200.00,,1180879-005
10200.00,,1237365-305
10200.00,,1237365-311
10200.00,,1299398-005
10147.50,,1235012-005
10125.00,,1084172-005
9997.50,,1286365-671
9997.50,,1286365-672
9990.00,,1223078-2819
9990.00,,1223078-2822
9877.50,,1276141-005
9832.50,,1318010-005
9795.00,,1235029-005
9750.00,,1106894-005
9750.00,,1295650-005
9750.00,,1308896-005
9712.50,,1309663-005
9705.00,,1317352-005
9648.75,,1235028-005
9585.00,,1202630-005
9555.00,,1202628-005
9547.50,,1180886-666
9525.00,,1299394-005
9525.00,,1299407-005
9450.00,,1184137-005
9450.00,,1188973-2819
9375.00,,1209780-005
9375.00,,1296742-005
9375.00,,1296751-005
9375.00,,1298353-005
9375.00,,1300268-005
9367.50,,1124436-005
9300.00,,1227874-005
9270.00,,1214606-005
9243.75,,1256643-011
9243.75,,1256643-012
9243.75,,1256643-013
9225.00,,1301196-005
9202.50,,1214595-005
9090.00,,1286470-005
9060.00,,1317335-005
9030.00,,1238746-005
9000.00,,1300252-005
9000.00,,1309590-005
9000.00,,1317959-005
8981.25,1,1160578-005
8981.25,1,1309662-005
8932.50,1,1214955-666
8932.50,1,1233605-005
8925.00,1,1105844-005
8925.00,1,1167469-005
8925.00,1,1227866-005
8925.00,1,1299395-005
8883.75,,1286778-005
8842.50,1,1202629-005
8814.75,,1311113-666
8805.00,,1286472-005
8775.00,1,1288729-670
8700.00,1,1256830-005
8700.00,1,1299408-005
8625.00,1,1300261-005
8602.50,,1211865-005
8576.25,,1245721-005
8542.50,,1214628-005
8512.50,,1256794-2819
8482.50,,1214926-005
8482.50,,1232946-005
8475.00,,1296736-005
8437.50,,1208190-2827
8437.50,,1298350-005
8437.50,,1298360-005
8430.00,,1124353-005
8415.00,,1276145-005
8415.00,,1317338-005
8400.00,,1292687-311
8325.00,1,1137029-005
8325.00,1,1184141-005
8325.00,1,1287591-005
8310.00,1,1133193-012
8310.00,1,1133193-014
8250.00,1,1215092-005
8250.00,1,1300253-005
8220.00,1,1298352-005
8160.00,1,1254984-005
8133.75,,1278381-010
8133.75,,1278381-011
8133.75,,1278381-012
8133.75,,1278381-013
8133.75,,1278381-014
8133.75,,1278381-015
8133.75,,1278381-016
8133.75,,1278381-017
8133.75,,1324440-011
8133.75,,1324440-013
8133.75,,1324440-015
8133.75,,1324440-017
8100.00,1,1296737-005
8100.00,1,1296759-005
8100.00,1,1302467-305
8100.00,1,1302467-311
8085.00,1,1292058-005
8025.00,1,1235013-005
8025.00,1,1296779-005
8006.25,1,1286352-005
7950.00,1,1215077-005
7950.00,1,1256826-005
7950.00,1,1292234-005
7950.00,1,1296811-005
7950.00,1,1299954-005
7950.00,1,1302428-005
7927.50,1,1286343-005
7923.75,1,1238341-011
7923.75,1,1238341-012
7923.75,1,1238341-013
7912.50,1,1217399-005
7875.00,1,1175635-005
7875.00,1,1286475-005
7875.00,1,1299413-005
7875.00,1,1302430-005
7860.00,,1245722-005
7837.50,,1134615-005
7766.25,,1321510-005
7766.25,,1321511-005
7762.50,,1202617-2819
7762.50,,792909-1537
7758.75,,1291992-012
7758.75,,1291992-014
7758.75,,1291992-016
7725.00,,1176311-005
7725.00,,1190068-005
7725.00,,1237367-005
7725.00,,1301197-005
7725.00,,1323436-005
7725.00,,1324317-005
7717.50,,1276146-005
7691.25,,1286476-670
7680.00,,1314166-005
7672.50,,1300288-005
7650.00,,1320678-005
7608.75,,1309667-670
7575.00,1,1296738-005
7575.00,1,1324312-005
7522.50,,1320677-005
7500.00,1,1088105-005
7500.00,1,1286477-005
7470.00,1,1202621-2819
7466.25,1,1276147-005
7436.25,1,1289015-011
7436.25,1,1289015-012
7436.25,1,1289015-013
7436.25,1,1289015-014
7436.25,1,1289015-015
7436.25,1,1289015-016
7436.25,1,1289015-017
7395.00,1,1276148-005
7380.00,,1286402-005
